,Track Name,Artist Name,Genre,Popularity
1,Señorita,Shawn Mendes,Canadian Pop,79
2,China,Anuel AA,Reggaeton Flow,92
3,Boyfriend  ,Ariana Grande,Dance Pop,85
4,Beautiful People  ,Ed Sheeran,Pop,86
5,Goodbyes  ,Post Malone,Dfw Rap,94
6,I Don'T Care  ,Ed Sheeran,Pop,84
7,Ransom,Lil Tecca,Trap Music,92
8,How Do You Sleep?,Sam Smith,Pop,90
9,Old Town Road - Remix,Lil Nas X,Country Rap,87
10,Bad Guy,Billie Eilish,Electropop,95
11,Callaita,Bad Bunny,Reggaeton,93
12,Loco Contigo  ,DJ Snake,Dance Pop,86
13,Someone You Loved,Lewis Capaldi,Pop,88
14,Otro Trago - Remix,Sech,Panamanian Pop,87
15,Money In The Grave  ,Drake,Canadian Hip Hop,92
16,No Guidance  ,Chris Brown,Dance Pop,82
17,La Canci”N,J Balvin,Latin,90
18,Sunflower ,Post Malone,Dfw Rap,91
19,Lalala,Y2K,Canadian Hip Hop,88
20,Truth Hurts,Lizzo,Escape Room,91
21,Piece Of Your Heart,MEDUZA,Pop House,91
22,Panini,Lil Nas X,Country Rap,91
23,No Me Conoce - Remix,Jhay Cortez,Reggaeton Flow,83
24,Soltera - Remix,Lunay,Latin,91
25,Bad Guy  ,Billie Eilish,Electropop,89
26,If I Can'T Have You,Shawn Mendes,Canadian Pop,70
27,Dance Monkey,Tones and I,Australian Pop,83
28,It'S You,Ali Gatie,Canadian Hip Hop,89
29,Con Calma,Daddy Yankee,Latin,91
30,Que Pretendes,J Balvin,Latin,89
31,Takeaway,The Chainsmokers,Edm,84
32,7 Rings,Ariana Grande,Dance Pop,89
33,0.958333333333333,Maluma,Reggaeton,89
34,The London  ,Young Thug,Atl Hip Hop,89
35,Never Really Over,Katy Perry,Dance Pop,89
36,Summer Days  ,Martin Garrix,Big Room,89
37,Otro Trago,Sech,Panamanian Pop,91
38,Antisocial  ,Ed Sheeran,Pop,87
39,Sucker,Jonas Brothers,Boy Band,80
40,"Fuck, I'M Lonely   ",Lauv,Dance Pop,78
41,Higher Love,Kygo,Edm,88
42,You Need To Calm Down,Taylor Swift,Dance Pop,90
43,Shallow,Lady Gaga,Dance Pop,87
44,Talk,Khalid,Pop,84
45,Con Altura,ROSALÕA,R&B En Espanol,88
46,One Thing Right,Marshmello,Brostep,88
47,Te Robarè,Nicky Jam,Latin,88
48,Happier,Marshmello,Brostep,88
49,Call You Mine,The Chainsmokers,Edm,88
50,Cross Me  ,Ed Sheeran,Pop,82